TurtleID,Capture Date,LifeStage,Tissue Type,SCL,Weight,BCI,d15N,d13C
102,9/10/2016,Small,Epi shoulder,24.7,2.1,1.39,6.528674887,-14.92919778
156,8/7/2018,Small,Epi shoulder,25.3,3.5,2.16,8.496798689,-15.36107241
113,9/10/2016,Small,Epi shoulder,27.8,5,2.33,6.323200008,-14.61685145
157,8/7/2018,Small,Epi shoulder,30,4.5,1.67,9.1025748,-16.31469173
14,5/8/2016,Small,Epi shoulder,31.8,5.1,1.59,7.285840164,-14.90466657
178,2/17/2019,Small,Epi shoulder,32.8,4.5,1.28,7.748962605,-15.68898257
62,8/17/2016,Small,Epi shoulder,33.8,7.2,1.86,7.100403502,-13.85466415
19,5/8/2016,Small,Epi shoulder,35,6.6,1.54,6.718640705,-14.31819414
112,9/10/2016,Small,Epi shoulder,35.3,6.9,1.57,7.844626525,-15.36660456
9,5/7/2016,Small,Epi shoulder,35.6,6.3,1.4,8.491641849,-15.09062992
111,9/10/2016,Small,Epi shoulder,36.1,7,1.49,6.985143997,-15.42320042
24,5/9/2016,Small,Epi shoulder,36.3,8,1.67,6.449491885,-14.28737645
40,5/11/2016,Small,Epi shoulder,36.5,7.5,1.54,7.468912274,-15.47037535
16,5/8/2016,Small,Epi shoulder,37.3,7.5,1.45,5.805489804,-16.59904759
33,5/11/2016,Small,Epi shoulder,38.3,8.7,1.55,7.21644874,-12.76703438
63,8/18/2016,Small,Epi shoulder,38.6,10.1,1.76,7.184267211,-14.90642565
15,5/8/2016,Small,Epi shoulder,39.8,8.8,1.4,6.916571366,-15.86119892
158,8/7/2018,Large,Epi shoulder,40.9,9.6,1.4,5.502360256,-13.19805836
64,8/18/2016,Large,Epi shoulder,41.1,10.8,1.56,6.917763919,-14.17699594
237,4/25/2021,Large,Epi shoulder,41.8,10.2,1.4,5.371208598,-14.59256993
122,2/11/2017,Large,Epi shoulder,41.9,10.9,1.48,7.889918106,-15.64678569
72,8/25/2016,Large,Epi shoulder,42.4,11.7,1.53,7.504071161,-13.84323825
93,9/10/2016,Large,Epi shoulder,42.7,14.1,1.81,5.767274237,-14.60775873
166,8/9/2018,Large,Epi shoulder,42.7,12.1,1.55,6.056473187,-13.74988876
129,4/2/2017,Large,Epi shoulder,43.7,11.6,1.39,5.11683813,-13.82041979
270,8/12/2021,Large,Epi shoulder,44,12.9,1.51,5.408238164,-14.58788648
94,9/10/2016,Large,Epi shoulder,44.4,13.8,1.58,6.892473972,-14.99614284
133,4/2/2017,Large,Epi shoulder,44.5,12.5,1.42,4.737006463,-14.8332227
22,5/9/2016,Large,Epi shoulder,45,12.9,1.42,7.9204197,-14.55736518
58,8/17/2016,Large,Epi shoulder,45.3,16.5,1.77,6.553710366,-13.28191851
44,5/12/2016,Large,Epi shoulder,45.7,13.6,1.42,7.729341868,-14.30267146
96,9/10/2016,Large,Epi shoulder,46,15.6,1.6,5.649014206,-14.46898723
236,4/25/2021,Large,Epi shoulder,46.1,11.3,1.15,5.86972964,-14.74451713
51,8/16/2016,Large,Epi shoulder,46.2,16.4,1.66,5.721013288,-12.50011642
235,4/23/2021,Large,Epi shoulder,46.4,NA,NA,5.086761249,-14.60253699
43,5/12/2016,Large,Epi shoulder,46.9,14.4,1.4,5.687826086,-14.38956284
208,8/22/2019,Large,Epi shoulder,47.2,14.2,1.35,11.1066497,-15.79102709
242,4/26/2021,Large,Epi shoulder,47.3,13.1,1.24,6.163061581,-14.26790995
187,6/7/2019,Large,Epi shoulder,47.4,14.4,1.35,6.596954296,-13.65613167
52,8/16/2016,Large,Epi shoulder,47.8,16.6,1.52,6.201724886,-11.43103635
234,4/23/2021,Large,Epi shoulder,47.8,13,1.19,6.326619686,-14.24149768
13,5/8/2016,Large,Epi shoulder,47.9,14.8,1.35,5.8869493,-13.0113063
97,9/10/2016,Large,Epi shoulder,47.9,16.6,1.51,5.829151175,-14.47728889
21,5/8/2016,Large,Epi shoulder,48,14.5,1.31,6.911729882,-13.21670588
18,5/8/2016,Large,Epi shoulder,48.1,18.4,1.65,8.3086094,-12.55486301
69,8/26/2016,Large,Epi shoulder,48.9,17.7,1.51,5.978407521,-14.74813065
17,5/8/2016,Large,Epi shoulder,49,17.5,1.49,8.3086094,-14.46801125
34,5/11/2016,Large,Epi shoulder,49,18.8,1.6,6.87150297,-13.05488383
20,5/8/2016,Large,Epi shoulder,50.1,17.2,1.37,6.543709635,-14.21886177
45,5/12/2016,Large,Epi shoulder,50.2,17.8,1.41,6.987735837,-14.73372943
92,9/10/2016,Large,Epi shoulder,50.2,22.1,1.75,6.370591438,-14.93076724
252,6/4/2021,Large,Epi shoulder,50.4,NA,NA,7.228358991,-16.79512637
70,8/26/2016,Large,Epi shoulder,50.5,17.8,1.38,5.692247078,-14.64332215
71,8/25/2016,Large,Epi shoulder,50.6,18.3,1.41,6.758867617,-12.63638967
114,9/10/2016,Large,Epi shoulder,51,20,1.51,6.887327201,-14.45653473
